model_name,timestamp,R2_score,MAE
LinearRegression,02-07-2024 21:46:23,0.9090798105116309,756.7317987073
Ridge,02-07-2024 21:46:23,0.9089438362670546,756.1527571184614
Lasso,02-07-2024 21:46:23,0.9091178731666789,750.4417062951571
ElasticNet,02-07-2024 21:46:23,0.7924223050511361,1186.046956710752
LinearSVR,02-07-2024 21:46:23,0.6910509240397277,1155.8244342007567
SGDRegressor,02-07-2024 21:46:23,-8.2845982756611e+16,1108306852022.2065
LinearRegression,03-07-2024 00:13:29,0.9090798105116309,756.7317987073
Ridge,03-07-2024 00:13:29,0.9089438362670546,756.1527571184614
Lasso,03-07-2024 00:13:29,0.9091178731666789,750.4417062951571
ElasticNet,03-07-2024 00:13:29,0.7924223050511361,1186.046956710752
LinearSVR,03-07-2024 00:13:29,0.6898330484654562,1155.8224278235714
SGDRegressor,03-07-2024 00:13:29,-2.2254958024776196e+16,562489830828.3007
XGBoost,03-07-2024 00:13:30,0.9632148742675781,356.4004144152563
